code_hs6,label_court,categorie,note_nova4,source_classification,nomenclature
220210,Eaux sucrées/aromatisées,Boissons,NOVA 4 pur,"Monteiro et al. (2016, 2019) — Classification NOVA",Système Harmonisé HS6 — UN Comtrade
220299,Autres boissons,Boissons,NOVA 4 pur,"Monteiro et al. (2016, 2019) — Classification NOVA",Système Harmonisé HS6 — UN Comtrade
180631,Chocolat fourré,Confiserie,NOVA 4 pur,"Monteiro et al. (2016, 2019) — Classification NOVA",Système Harmonisé HS6 — UN Comtrade
180632,Chocolat non fourré,Confiserie,~70-80 % NOVA 4,"Monteiro et al. (2016, 2019) — Classification NOVA",Système Harmonisé HS6 — UN Comtrade
180690,Autres chocolats/cacao,Confiserie,NOVA 4 pur,"Monteiro et al. (2016, 2019) — Classification NOVA",Système Harmonisé HS6 — UN Comtrade
170490,Confiseries sans cacao,Confiserie,NOVA 4 pur,"Monteiro et al. (2016, 2019) — Classification NOVA",Système Harmonisé HS6 — UN Comtrade
210500,Glaces,Confiserie,NOVA 4 pur,"Monteiro et al. (2016, 2019) — Classification NOVA",Système Harmonisé HS6 — UN Comtrade
190531,Biscuits sucrés,Biscuiterie,NOVA 4 pur,"Monteiro et al. (2016, 2019) — Classification NOVA",Système Harmonisé HS6 — UN Comtrade
190532,Gaufres/gaufrettes,Biscuiterie,NOVA 4 pur,"Monteiro et al. (2016, 2019) — Classification NOVA",Système Harmonisé HS6 — UN Comtrade
190590,Autres boulangerie fine,Biscuiterie,~70 % NOVA 4,"Monteiro et al. (2016, 2019) — Classification NOVA",Système Harmonisé HS6 — UN Comtrade
190410,Céréales soufflées,Petit-déjeuner,NOVA 4 pur,"Monteiro et al. (2016, 2019) — Classification NOVA",Système Harmonisé HS6 — UN Comtrade
190420,Corn flakes/flocons,Petit-déjeuner,NOVA 4 pur,"Monteiro et al. (2016, 2019) — Classification NOVA",Système Harmonisé HS6 — UN Comtrade
190220,Pâtes farcies,Plats préparés,NOVA 4 pur,"Monteiro et al. (2016, 2019) — Classification NOVA",Système Harmonisé HS6 — UN Comtrade
210410,Soupes préparées,Plats préparés,NOVA 4 pur,"Monteiro et al. (2016, 2019) — Classification NOVA",Système Harmonisé HS6 — UN Comtrade
160232,Conserves volaille,Conserves,NOVA 4 pur,"Monteiro et al. (2016, 2019) — Classification NOVA",Système Harmonisé HS6 — UN Comtrade
160420,Conserves poisson,Conserves,~70 % NOVA 4,"Monteiro et al. (2016, 2019) — Classification NOVA",Système Harmonisé HS6 — UN Comtrade
160250,Conserves bœuf,Conserves,NOVA 4 pur,"Monteiro et al. (2016, 2019) — Classification NOVA",Système Harmonisé HS6 — UN Comtrade
160100,Saucisses,Autres,NOVA 4 pur,"Monteiro et al. (2016, 2019) — Classification NOVA",Système Harmonisé HS6 — UN Comtrade
151710,Margarine,Autres,NOVA 4 pur,"Monteiro et al. (2016, 2019) — Classification NOVA",Système Harmonisé HS6 — UN Comtrade
190110,Aliments bébé,Autres,NOVA 4 pur,"Monteiro et al. (2016, 2019) — Classification NOVA",Système Harmonisé HS6 — UN Comtrade
210690,Autres préparations,Autres préparations,~65-75 % NOVA 4,"Monteiro et al. (2016, 2019) — Classification NOVA",Système Harmonisé HS6 — UN Comtrade
