rang,iso3,pays,valeur_musd_2022_24,part_pct_2022_24,part_cumul_pct,periode,nb_codes,source,methodologie
1,DEU,Germany,78256.10435443415,11.18,11.2,2022-2024,22,UN Comtrade / comtradr,"Exportations totales tous partenaires, 21 codes HS6 NOVA 4"
2,NLD,Netherlands,51311.897719664055,7.33,18.5,2022-2024,22,UN Comtrade / comtradr,"Exportations totales tous partenaires, 21 codes HS6 NOVA 4"
3,USA,USA,47281.925553,6.75,25.3,2022-2024,22,UN Comtrade / comtradr,"Exportations totales tous partenaires, 21 codes HS6 NOVA 4"
4,POL,Poland,37604.575539,5.37,30.6,2022-2024,22,UN Comtrade / comtradr,"Exportations totales tous partenaires, 21 codes HS6 NOVA 4"
5,ITA,Italy,35176.526773067955,5.02,35.6,2022-2024,22,UN Comtrade / comtradr,"Exportations totales tous partenaires, 21 codes HS6 NOVA 4"
6,FRA,France,32530.988243239022,4.65,40.3,2022-2024,22,UN Comtrade / comtradr,"Exportations totales tous partenaires, 21 codes HS6 NOVA 4"
7,CAN,Canada,29915.25220112901,4.27,44.6,2022-2024,22,UN Comtrade / comtradr,"Exportations totales tous partenaires, 21 codes HS6 NOVA 4"
8,CHN,China,27472.912587,3.92,48.5,2022-2024,22,UN Comtrade / comtradr,"Exportations totales tous partenaires, 21 codes HS6 NOVA 4"
9,BEL,Belgium,27129.81263027295,3.88,52.4,2022-2024,22,UN Comtrade / comtradr,"Exportations totales tous partenaires, 21 codes HS6 NOVA 4"
10,THA,Thailand,22432.621458215945,3.2,55.6,2022-2024,22,UN Comtrade / comtradr,"Exportations totales tous partenaires, 21 codes HS6 NOVA 4"
11,ESP,Spain,22170.07954135999,3.17,58.7,2022-2024,22,UN Comtrade / comtradr,"Exportations totales tous partenaires, 21 codes HS6 NOVA 4"
12,SGP,Singapore,20643.657073509017,2.95,61.7,2022-2024,22,UN Comtrade / comtradr,"Exportations totales tous partenaires, 21 codes HS6 NOVA 4"
13,AUT,Austria,19375.55896201008,2.77,64.5,2022-2024,22,UN Comtrade / comtradr,"Exportations totales tous partenaires, 21 codes HS6 NOVA 4"
14,MEX,Mexico,19000.964746,2.71,67.2,2022-2024,22,UN Comtrade / comtradr,"Exportations totales tous partenaires, 21 codes HS6 NOVA 4"
15,GBR,United Kingdom,17555.74822191898,2.51,69.7,2022-2024,22,UN Comtrade / comtradr,"Exportations totales tous partenaires, 21 codes HS6 NOVA 4"
16,TUR,Türkiye,13620.594394,1.95,71.6,2022-2024,22,UN Comtrade / comtradr,"Exportations totales tous partenaires, 21 codes HS6 NOVA 4"
17,CHE,Switzerland,12540.102898150004,1.79,73.4,2022-2024,22,UN Comtrade / comtradr,"Exportations totales tous partenaires, 21 codes HS6 NOVA 4"
18,DNK,Denmark,9911.185439015975,1.42,74.8,2022-2024,22,UN Comtrade / comtradr,"Exportations totales tous partenaires, 21 codes HS6 NOVA 4"
19,IRL,Ireland,9075.320106458,1.3,76.1,2022-2024,22,UN Comtrade / comtradr,"Exportations totales tous partenaires, 21 codes HS6 NOVA 4"
20,MYS,Malaysia,8692.870604275007,1.24,77.4,2022-2024,22,UN Comtrade / comtradr,"Exportations totales tous partenaires, 21 codes HS6 NOVA 4"
21,CZE,Czechia,8590.072651,1.23,78.6,2022-2024,22,UN Comtrade / comtradr,"Exportations totales tous partenaires, 21 codes HS6 NOVA 4"
22,NZL,New Zealand,7726.041413229006,1.1,79.7,2022-2024,22,UN Comtrade / comtradr,"Exportations totales tous partenaires, 21 codes HS6 NOVA 4"
23,KOR,Rep. of Korea,7537.826547,1.08,80.8,2022-2024,22,UN Comtrade / comtradr,"Exportations totales tous partenaires, 21 codes HS6 NOVA 4"
24,BRA,Brazil,7350.065683,1.05,81.8,2022-2024,22,UN Comtrade / comtradr,"Exportations totales tous partenaires, 21 codes HS6 NOVA 4"
25,SWE,Sweden,7117.815126979976,1.02,82.9,2022-2024,22,UN Comtrade / comtradr,"Exportations totales tous partenaires, 21 codes HS6 NOVA 4"
26,JPN,Japan,6807.135389117992,0.97,83.8,2022-2024,22,UN Comtrade / comtradr,"Exportations totales tous partenaires, 21 codes HS6 NOVA 4"
27,IDN,Indonesia,6506.627265421,0.93,84.8,2022-2024,22,UN Comtrade / comtradr,"Exportations totales tous partenaires, 21 codes HS6 NOVA 4"
28,HKG,"China, Hong Kong SAR",6193.8633435359925,0.88,85.6,2022-2024,22,UN Comtrade / comtradr,"Exportations totales tous partenaires, 21 codes HS6 NOVA 4"
29,HUN,Hungary,6000.928533570006,0.86,86.5,2022-2024,22,UN Comtrade / comtradr,"Exportations totales tous partenaires, 21 codes HS6 NOVA 4"
30,AUS,Australia,5528.465068001002,0.79,87.3,2022-2024,22,UN Comtrade / comtradr,"Exportations totales tous partenaires, 21 codes HS6 NOVA 4"
